Date,Open,High,Low,Close,Volume
2007-09-25,32.776,34.0,32.776,33.3,435000.0
2007-09-26,33.30001172,39.001,33.30001172,39.001,215000.0
2007-09-27,34.5,37.968,33.505,34.5,1177000.0
2007-09-28,34.499,34.5,33.999,34.4,399000.0
2007-10-01,34.0,34.195,33.9,33.98,196000.0
2007-10-02,34.1,36.1,34.1,36.0,977000.0
2007-10-03,36.0,36.0,35.0,35.0,233000.0
2007-10-04,35.0,35.9,35.0,35.105,445000.0
2007-10-05,34.5,35.45,34.5,35.3,231000.0
2007-10-08,35.4,35.7,35.15,35.7,666000.0
2007-10-09,35.55,35.92,35.35,35.7,1949000.0
2007-10-10,35.949,36.2,35.3,35.7,854000.0
2007-10-11,35.7,36.0,35.50101172,35.655,179000.0
2007-10-12,35.7,36.0,35.4,35.55,1071000.0
2007-10-15,35.501,35.55,35.150019529999994,35.29987891,207000.0
2007-10-16,35.0,35.17,34.93,35.0,182000.0
2007-10-17,34.851,35.5,34.8,35.0,338000.0
2007-10-18,34.9,34.9,34.0,34.07,632000.0
2007-10-19,33.99,34.15,33.7,33.95,413000.0
2007-10-22,33.4,33.6,33.1,33.6,271000.0
2007-10-23,33.9,34.999,33.9,34.68,428000.0
2007-10-24,34.5,34.95,34.2,34.95,189000.0
2007-10-25,35.0,36.7,34.96,35.8,2898000.0
2007-10-26,36.3,36.75,35.6,36.64,3443000.0
2007-10-29,36.95,37.85,36.30201172,37.5,2597000.0
2007-10-30,37.555,37.99996875,37.102,37.5,440000.0
2007-10-31,37.25101172,37.8,37.25101172,37.5,808000.0
2007-11-01,38.45,38.499,36.9,37.0,922000.0
2007-11-02,36.9,37.449,36.9,37.449,287000.0
2007-11-06,37.999,38.89,37.0,38.29998047,1830000.0
2007-12-12,43.0,43.0,41.0,41.449,465200.0
2007-12-13,41.2,41.2,40.0,40.896,585400.0
2007-12-14,40.2,42.35,40.0,41.797,1284600.0
2007-12-17,41.89,43.0,41.101,41.9,1276500.0
2007-12-18,41.001,42.89,41.0,41.4,817900.0
2007-12-19,41.79,42.5,41.351,41.6,894900.0
2007-12-20,42.0,42.0,41.42,41.65,852300.0
2007-12-21,41.665,41.75,41.14,41.35,586400.0
2007-12-24,41.699,41.699,41.205,41.21,702000.0
2007-12-25,41.18,41.33,40.66,40.7,603400.0
2007-12-26,40.68,41.0,40.6,40.62,181600.0
2007-12-27,40.5,41.65,40.001,41.35,289000.0
2007-12-28,41.001,41.3,40.505,40.8,1559300.0
2008-01-09,41.26,41.589,40.713,41.55,312000.0
2008-01-10,41.55,42.5,41.55,42.34,652400.0
2008-01-11,42.35,46.55,42.03,46.2,1660600.0
2008-01-14,46.2,46.2,43.56,44.75,1862500.0
2008-01-15,45.11,45.99,44.558,44.6,2137400.0
2008-01-16,44.5,44.5,42.05,43.0,1529400.0
2008-01-17,42.51,43.499,41.8,42.499,935300.0
2008-01-18,42.309,43.001,41.44,42.0,899700.0
2008-01-21,41.85,41.85,39.0,40.0,739000.0
2008-01-22,38.51,40.7,36.0,39.7,1327000.0
2008-01-23,40.949,41.0,38.0,38.0,509300.0
2008-01-24,39.66,40.969,38.7,40.2,478100.0
2008-01-25,41.49,41.49,40.5,41.4,538400.0
2008-01-28,40.49,40.49,39.012,40.3,224000.0
2008-01-29,41.2,41.35,39.61,40.2,376900.0
2008-01-30,39.8,40.6,39.65,39.998,210000.0
2008-01-31,40.0,40.0,38.25,38.699,682200.0
2008-02-01,39.487,40.19,39.0,39.699,156000.0
2008-02-04,40.5,41.0,40.2,40.593,271400.0
2008-02-05,40.598,41.5,39.0,39.687,810900.0
2008-02-06,38.9,39.699,38.501,39.6,607200.0
2008-02-07,39.94,40.0,38.87,39.46,411000.0
2008-02-08,39.001,39.442,37.2,38.2,1141700.0
2008-02-11,38.03,38.35,37.504,38.01,630800.0
2008-02-12,38.46,40.4,38.46,40.277,908500.0
2008-02-13,40.97,40.97,39.811,40.601,441400.0
2008-02-14,41.0,41.15,39.495,40.0,320500.0
2008-02-15,39.01,40.0,38.894,39.75,800700.0
2008-02-18,40.65,40.77,39.45,40.0,356000.0
2008-02-19,40.0,40.77,39.52,39.95,196500.0
2008-02-20,40.0,40.37,39.5,39.9,91500.0
2008-02-21,40.5,40.575,39.15,39.6,1001300.0
2008-02-22,39.11,39.6,38.601,39.595,146300.0
2008-02-26,39.595,39.85,39.1,39.5,129300.0
2008-02-27,39.52,39.52,38.614,39.0,293800.0
2008-02-28,38.502,38.942,38.16,38.7,152300.0
2008-02-29,39.299,39.299,38.2,38.2,150700.0
2008-03-03,38.0,38.3,37.151,38.0,1371200.0
2008-03-04,38.0,38.301,37.77,38.075,326500.0
2008-03-05,38.69,39.006,37.91,37.95,118900.0
2008-03-06,38.02,38.299,37.507,38.225,113400.0
2008-03-07,37.99,38.295,37.253,37.3,223500.0
2008-03-11,37.11,38.1,36.55,37.0,448600.0
2008-03-12,37.111,37.797,36.551,36.697,422900.0
2008-03-13,36.7,37.7,36.5,36.75,450000.0
2008-03-14,36.71,37.595,36.672,36.997,336200.0
2008-03-17,36.6,36.9,35.501,35.522,316400.0
2008-03-18,35.987,36.75,35.0,35.2,298100.0
2008-03-19,35.878,36.099,34.08,34.745,327000.0
2008-03-20,34.79,34.9,33.511,34.4,264300.0
2008-03-21,34.765,35.327,34.2,34.2,325100.0
2008-03-24,33.55,34.85,33.55,34.85,104200.0
2008-03-25,34.413,35.03,34.012,34.2,203700.0
2008-03-26,34.548,34.548,33.561,33.6,228500.0
2008-03-27,33.85,34.193,33.8,34.0,50900.0
2008-03-28,34.363,34.363,33.334,33.95,390100.0
2008-03-31,34.0,34.0,33.688,33.75,96500.0
2008-04-01,34.095,34.146,33.602,33.8,329300.0
2008-04-02,34.27,34.45,33.89,33.909,305800.0
2008-04-03,33.978,35.323,33.6,33.66,580400.0
2008-04-04,33.967,34.198,33.604,33.8,471500.0
2008-04-07,33.6,34.499,33.6,34.2,286000.0
2008-04-08,34.4,34.99,33.669,33.669,667400.0
2008-04-09,33.8,33.8,33.35,33.512,413800.0
2008-04-10,33.41,33.519,33.35,33.41,103100.0
2008-04-11,33.739,33.75,33.402,33.5,165100.0
2008-04-14,33.333,33.849,32.801,32.881,249900.0
2008-04-15,33.0,33.698,32.9,33.0,304600.0
2008-04-16,33.33,33.8,33.33,33.375,424300.0
2008-04-17,33.081,33.081,31.8,32.0,818300.0
2008-04-18,32.118,32.5,31.5,32.385,379700.0
2008-04-21,32.385,32.58,31.781,32.45,215600.0
2008-04-22,32.764,32.843,31.472,31.984,321500.0
2008-04-23,32.118,32.199,31.549,31.656,657400.0
2008-04-24,31.95,32.19,31.5,31.62,189500.0
2008-04-25,31.863,31.863,31.01,31.38,427500.0
2008-04-28,31.031,31.658,30.003,31.36,343000.0
2008-04-29,31.213,31.94,31.213,31.79,66200.0
2008-04-30,31.79,31.79,30.914,31.5,581800.0
2008-05-04,32.3,32.3,31.95,32.2,99800.0
2008-05-05,32.01,32.01,31.537,32.0,219600.0
2008-05-06,31.601,32.25,31.53,31.65,1153800.0
2008-05-07,31.543,31.99,31.362,31.7,307600.0
2008-05-08,31.51,31.749,31.377,31.6,532600.0
2008-05-12,32.0,32.6,31.61,31.898,716400.0
2008-05-13,32.178,32.4,31.133,31.94,625400.0
2008-05-14,32.2,34.3,32.12,33.3,2409800.0
2008-05-15,33.59,34.498,32.9,32.96,2360700.0
