Date,Open,High,Low,Close,Volume
2009-07-16,63.73,64.32,63.7,64.3,1017
2009-07-17,63.97,66.42,63.96,66.2,1623
2009-07-20,66.66,67.39,66.38,67.39,644
2009-07-21,66.63,68.5,66.63,67.12,242
2009-07-22,67.33,68.01,66.63,67.9,123
2009-07-23,68.05,70.2,67.72,70.2,81
2009-07-24,70.0,70.98,69.77,70.82,230
2009-07-27,71.66,71.83,70.89,70.89,61
2009-07-28,71.46,71.61,69.68,70.35,61
2009-07-29,69.49,69.55,66.68,66.72,625
2009-07-30,67.17,70.67,67.17,70.1,758
2009-07-31,70.88,71.56,68.56,71.18,765
2009-08-03,71.85,74.25,71.85,74.0,1636
2009-08-04,73.78,74.72,73.02,74.1,942
2009-08-05,74.63,75.76,73.65,75.65,1248
2009-08-06,75.36,76.21,74.5,75.16,1689
2009-08-07,75.0,75.69,73.72,73.72,1620
2009-08-10,73.74,74.61,73.53,74.23,11275
2009-08-11,74.42,74.6,72.48,72.72,12507
2009-08-12,72.59,74.9,72.11,73.12,8759
2009-08-13,73.75,75.1,73.15,74.4,8840
2009-08-14,74.23,74.7,71.2,71.56,15498
2009-08-17,71.13,71.13,69.24,70.45,30220
2009-08-18,70.46,72.77,69.43,72.3,25741
2009-08-19,72.3,74.5,71.21,74.35,24571
2009-08-20,74.43,74.8,73.13,73.38,40918
2009-08-21,73.21,74.89,73.0,73.96,24374
2009-08-24,74.4,74.75,73.86,73.99,21849
2009-08-25,73.73,74.23,71.05,71.7,17110
2009-08-26,71.9,72.41,70.71,71.58,17056
2009-08-27,71.23,72.7,70.44,72.58,18464
2009-08-28,72.35,73.32,72.01,72.73,20827
2009-08-31,72.5,72.5,68.91,69.33,31432
2009-09-01,69.54,71.0,67.72,67.89,35861
2009-09-02,68.12,68.5,66.77,67.56,28307
2009-09-03,67.6,68.7,67.0,67.2,31937
2009-09-04,67.31,67.67,66.0,66.55,23159
2009-09-07,66.98,68.0,66.36,67.13,8466
2009-09-08,67.21,70.05,67.18,69.57,37178
2009-09-09,69.7,71.46,69.15,69.89,33898
2009-09-10,71.43,71.43,70.0,71.07,859
2009-09-11,70.81,71.5,67.86,68.55,9034
2009-09-14,68.05,68.78,67.5,68.41,27073
2009-09-15,68.49,70.0,67.51,69.7,21313
2009-09-16,69.7,71.72,69.27,71.4,25754
2009-09-17,71.7,72.16,70.95,71.54,13423
2009-09-18,71.44,71.77,70.5,71.16,14604
2009-09-21,70.86,70.86,68.12,68.44,22843
2009-09-22,68.88,70.63,68.88,70.51,13408
2009-09-23,70.36,70.68,67.61,67.62,21733
2009-09-24,67.8,68.01,64.66,64.94,46624
2009-09-25,65.3,65.78,64.11,65.2,40993
2009-09-28,65.03,66.29,64.55,65.67,37435
2009-09-29,65.62,65.94,64.67,65.4,31112
2009-09-30,65.6,69.24,65.05,68.8,45259
2009-10-01,68.71,69.78,67.53,68.94,60727
2009-10-02,68.75,68.8,66.75,67.76,36130
2009-10-05,68.25,68.61,65.99,68.0,31806
2009-10-06,68.45,69.8,68.14,68.79,29073
2009-10-07,68.88,69.23,66.71,67.49,32694
2009-10-08,67.75,70.5,67.12,69.37,53528
2009-10-09,69.31,71.07,68.87,70.44,30121
2009-10-12,70.95,72.56,70.95,71.93,2697
2009-10-13,72.08,74.0,71.74,74.0,11167
2009-10-14,73.89,74.0,73.31,73.97,8612
2009-10-15,74.25,76.5,73.56,76.12,18982
2009-10-16,76.37,77.2,75.44,77.06,22467
2009-10-19,77.05,77.82,76.51,77.61,15181
2009-10-20,77.96,78.19,76.33,77.1,17126
2009-10-21,76.9,80.26,76.05,79.29,22580
2009-10-22,79.21,79.73,78.25,79.55,24421
2009-10-23,79.75,80.0,78.31,78.44,19909
2009-10-26,78.58,80.06,76.61,77.1,41490
2009-10-27,77.3,78.2,76.45,78.19,46165
2009-10-28,77.9,77.9,75.5,75.9,31296
2009-10-29,75.64,79.96,73.22,78.06,29770
2009-10-30,78.0,78.0,75.12,75.13,31888
2009-11-02,75.54,77.04,75.2,76.74,44190
2009-11-03,76.51,78.28,75.12,77.97,56322
2009-11-05,78.13,78.93,77.8,78.19,30686
2009-11-06,78.5,78.82,75.25,76.12,49985
2009-11-09,76.77,79.2,76.32,77.84,21621
2009-11-10,78.14,79.57,77.3,78.35,3917
2009-11-11,78.18,79.31,78.0,78.7,5403
2009-11-12,78.78,78.85,76.31,77.14,11725
2009-11-13,76.95,77.6,75.52,76.31,15609
2009-11-16,76.4,79.14,76.4,78.51,46956
2009-11-17,78.53,79.51,77.98,79.13,36917
2009-11-18,79.17,80.16,78.75,79.44,43764
2009-11-19,79.5,79.63,77.25,77.87,34885
2009-11-20,77.87,78.02,76.54,77.59,36356
2009-11-23,77.61,79.54,77.21,77.57,63086
2009-11-24,77.53,77.81,76.08,76.63,39038
2009-11-25,76.8,78.63,76.33,78.45,46119
2009-11-26,77.8,78.26,76.9,76.95,32552
2009-11-27,76.9,77.25,73.79,77.1,74785
2009-11-30,77.2,79.2,76.47,78.43,52005
2009-12-01,78.49,79.89,78.36,79.23,45745
2009-12-02,79.29,79.3,77.6,77.96,71961
2009-12-03,78.12,78.93,77.43,77.92,50785
2009-12-04,78.1,79.72,77.0,77.65,79705
2009-12-07,77.79,77.94,76.3,76.54,47212
2009-12-08,76.6,76.97,75.15,75.29,40719
2009-12-09,75.49,76.13,72.1,72.78,48295
