Date,Open,High,Low,Close,Volume
2006-01-23,239.0,239.0,218.49,218.89,5078252
2006-01-24,220.5,224.68,219.66,224.0,8971078
2006-01-25,225.2,231.0,225.0,228.38,15467697
2006-01-26,228.9,229.41,223.51,224.47,7585458
2006-01-27,226.2,231.5,224.0,228.75,12719299
2006-01-30,231.07,231.07,215.0,216.0,17240278
2006-01-31,218.0,224.23,215.71,219.02,11733963
2006-02-01,219.5,223.99,215.0,223.99,8547010
2006-02-02,223.9,224.5,220.0,221.5,5405728
2006-02-03,218.75,221.3,217.01,221.01,5368219
2006-02-06,221.75,222.45,219.16,220.45,6374804
2006-02-07,219.9,220.7,218.2,220.5,8265783
2006-02-08,219.0,221.59,215.5,221.0,9401348
2006-02-09,221.49,224.8,220.5,222.0,9773529
2006-02-10,222.58,223.6,221.51,222.0,5917093
2006-02-13,221.95,222.0,218.57,219.95,7876801
2006-02-14,219.75,220.85,218.6,219.89,3789868
2006-02-15,219.8,220.0,218.83,219.78,3547696
2006-02-16,219.88,220.47,218.93,220.0,4512426
2006-02-17,220.5,227.33,220.5,226.5,19215266
2006-02-20,227.37,229.99,227.37,228.2,8381342
2006-02-21,230.01,230.16,224.55,225.0,10778170
2006-02-22,225.45,226.5,224.11,225.38,6005302
2006-02-26,226.0,229.6,225.38,227.38,8899668
2006-02-27,227.8,228.2,225.05,225.21,9313061
2006-02-28,225.3,225.3,217.01,218.79,11432145
2006-03-01,219.0,220.5,214.6,217.98,11090835
2006-03-02,218.75,220.86,217.5,218.98,7794470
2006-03-03,220.17,228.9,220.0,228.9,28819529
2006-03-06,230.1,239.37,230.1,231.99,25659373
2006-03-07,230.21,230.5,221.97,223.86,18760635
2006-03-09,219.97,221.8,215.11,219.2,16395675
2006-03-10,219.57,221.88,216.3,217.11,12505262
2006-03-13,219.19,223.49,218.21,223.3,17023707
2006-03-14,224.77,225.55,218.22,220.35,15280682
2006-03-15,222.15,223.3,219.55,221.23,10871736
2006-03-16,221.5,223.0,219.4,220.7,7943996
2006-03-17,222.07,229.49,221.41,229.3,23123413
2006-03-20,229.99,232.2,224.5,225.75,17043484
2006-03-21,224.5,227.2,222.6,224.4,13179089
2006-03-22,225.6,225.6,223.7,225.19,6738714
2006-03-23,225.5,228.25,225.3,226.5,16542325
2006-03-24,226.88,229.91,225.55,229.9,11700133
2006-03-27,230.56,235.28,229.16,231.63,22889388
2006-03-28,231.51,232.0,227.79,228.45,12218979
2006-03-29,228.0,229.3,227.0,228.62,9377457
2006-03-30,230.2,231.49,229.5,230.4,16666203
2006-03-31,230.5,233.4,229.5,230.15,19198418
2006-04-03,230.98,232.2,230.1,230.5,9700282
2006-04-04,231.7,232.8,230.5,231.52,15153087
2006-04-05,232.0,240.7,231.55,238.5,30495870
2006-04-06,240.2,244.69,240.0,243.3,31857988
2006-04-07,242.0,251.0,241.5,250.29,45095876
2006-04-10,253.03,268.9,252.0,268.7,65392529
2006-04-11,270.4,275.42,262.4,262.5,66742530
2006-04-12,262.0,265.99,258.35,264.7,38846307
2006-04-13,266.07,266.7,259.81,263.49,29017717
2006-04-14,264.9,268.0,262.3,267.9,19537192
2006-04-17,269.0,271.48,267.53,269.45,33916879
2006-04-18,271.0,273.29,270.3,271.69,39423613
2006-04-19,273.4,278.3,273.35,278.29,51486799
2006-04-20,279.5,280.95,274.11,276.11,61650431
2006-04-21,275.0,280.4,273.3,280.19,32959311
2006-04-24,281.5,287.32,280.5,286.97,39941294
2006-04-25,285.0,289.22,283.69,285.0,30461128
2006-04-26,285.75,309.85,285.5,309.3,98616706
