Date,Open,High,Low,Close,Volume
2005-01-11,1449.5,1520.0,1430.0,1455.5,497706
2005-01-12,1455.0,1484.99,1416.0,1440.5,430278
2005-01-13,1442.0,1460.0,1420.11,1432.0,277406
2005-01-14,1476.0,1510.0,1425.0,1470.01,424326
2005-01-17,1460.0,1539.95,1460.0,1469.0,620316
2005-01-18,1474.35,1500.0,1425.0,1441.0,660162
2005-01-19,1445.0,1487.49,1430.0,1487.49,513702
2005-01-20,1491.9,1491.9,1436.0,1454.5,677144
2005-01-21,1454.0,1490.0,1446.55,1481.5,318785
2005-01-24,1500.0,1535.0,1484.0,1534.5,601142
2005-01-25,1541.0,1567.0,1525.0,1545.0,913451
2005-01-26,1544.9,1559.48,1521.02,1538.7,446549
2005-01-27,1540.01,1565.3,1531.0,1558.0,433273
2005-01-28,1555.0,1631.99,1544.98,1625.0,998903
2005-01-31,1627.0,1674.0,1591.0,1614.0,906716
2005-02-01,1614.5,1649.63,1603.06,1641.7,816699
2005-02-02,1638.51,1672.44,1635.0,1645.01,756144
2005-02-03,1649.9,1663.0,1637.0,1641.0,574955
2005-02-04,1641.0,1649.5,1618.1,1636.63,488700
2005-02-07,1640.2,1655.0,1605.7,1607.0,596992
2005-02-08,1607.0,1638.9,1583.1,1632.02,505085
2005-02-09,1642.0,1655.0,1607.77,1615.0,722763
2005-02-10,1615.0,1624.99,1592.11,1624.99,458951
2005-02-11,1625.2,1633.99,1593.0,1604.0,514801
2005-02-14,1605.0,1615.0,1585.0,1591.0,354982
2005-02-15,1586.12,1620.0,1584.0,1619.0,363263
2005-02-16,1621.7,1641.9,1619.0,1633.0,325760
2005-02-17,1638.88,1650.0,1635.07,1643.64,271431
2005-02-18,1643.01,1652.0,1627.0,1638.0,447429
2005-02-21,1641.11,1668.49,1640.01,1665.9,389879
2005-02-22,1668.68,1678.0,1657.83,1670.0,636067
2005-02-24,1689.0,1745.54,1689.0,1745.0,788790
2005-02-25,1751.9,1769.0,1735.15,1751.73,693739
2005-02-28,1748.2,1834.5,1743.22,1832.0,996906
2005-03-01,1830.0,1830.0,1773.0,1778.01,850609
2005-03-02,1777.0,1802.0,1716.0,1720.0,1126711
2005-03-03,1725.0,1745.0,1707.0,1733.9,664742
2005-03-04,1737.0,1776.8,1737.0,1773.5,584199
2005-03-05,1777.77,1780.0,1766.01,1777.0,154229
2005-03-09,1792.0,1811.0,1756.72,1785.0,720175
2005-03-10,1784.8,1790.0,1720.0,1733.9,717511
2005-03-11,1730.9,1743.77,1701.0,1740.0,659027
2005-03-14,1740.0,1746.0,1690.0,1700.0,463891
2005-03-15,1704.76,1732.0,1685.0,1696.0,670042
2005-03-16,1699.15,1706.5,1626.08,1631.0,1034000
2005-03-17,1631.15,1661.98,1631.15,1652.5,570070
2005-03-18,1655.25,1678.88,1625.0,1630.0,665282
2005-03-21,1635.06,1649.88,1577.5,1582.99,870075
2005-03-22,1582.0,1614.99,1567.01,1609.0,627955
2005-03-23,1599.95,1599.95,1527.01,1550.0,996157
2005-03-24,1555.0,1647.83,1550.01,1643.0,1087498
2005-03-25,1649.48,1677.77,1648.95,1667.0,465118
2005-03-28,1665.75,1674.0,1625.0,1665.0,309684
2005-03-29,1660.0,1679.0,1636.0,1645.2,414556
2005-03-30,1639.0,1639.0,1603.0,1609.99,445021
