Date,Open,High,Low,Close,Volume
2006-06-13,602.0,603.9,591.0,593.0,277
2006-06-14,617.0,617.0,574.0,574.0,17
2006-06-15,576.5,585.0,576.5,585.0,175
2006-06-16,588.2,591.0,582.5,582.5,102
2006-06-19,580.0,580.0,574.6,577.5,74
2006-06-20,579.9,579.9,573.5,573.5,185
2006-06-21,582.0,586.0,579.5,583.5,510
2006-06-22,592.0,602.5,591.0,591.0,787
2006-06-23,590.4,591.1,581.1,589.9,730
2006-06-26,591.1,594.0,587.0,592.4,1352
2006-06-27,596.9,599.2,594.2,599.2,1118
2006-06-28,588.8,594.2,587.4,588.2,66
2006-06-29,587.8,596.0,587.8,596.0,282
2006-06-30,603.0,618.5,600.0,618.5,1119
2006-07-03,626.0,633.0,625.0,633.0,1275
2006-07-04,640.0,640.0,626.6,628.5,60
2006-07-05,630.0,636.5,625.0,625.0,1024
2006-07-06,634.8,635.0,630.0,634.0,183
2006-07-07,635.0,642.7,635.0,639.5,541
2006-07-10,636.0,636.0,627.5,632.0,1267
2006-07-11,634.1,639.0,633.1,639.0,887
2006-07-12,648.8,655.0,646.0,655.0,2019
2006-07-13,656.5,663.0,654.9,663.0,1948
2006-07-14,667.0,675.0,665.0,675.0,3589
2006-07-17,682.0,685.0,652.0,652.0,7740
2006-07-18,657.9,659.8,645.6,658.0,5271
2006-07-19,634.0,655.5,622.5,652.0,8834
2006-07-20,638.0,647.9,638.0,647.9,2493
2006-07-21,632.0,643.0,628.8,642.5,4338
2006-07-24,626.4,626.5,608.5,609.1,7443
2006-07-25,626.5,628.0,622.0,622.9,5125
2006-07-26,623.0,624.0,618.7,624.0,2105
2006-07-27,633.5,644.1,631.0,643.4,6935
2006-07-28,634.0,642.3,630.5,642.3,3072
2006-07-31,640.5,640.5,634.0,634.0,2778
2006-08-01,636.5,642.5,635.3,642.5,4594
2006-08-02,653.0,660.0,651.0,660.0,6554
2006-08-03,662.9,662.9,647.0,649.0,6083
2006-08-04,650.0,660.0,649.0,658.5,5091
2006-08-07,653.5,656.0,650.5,654.0,2653
2006-08-08,649.4,650.7,645.5,649.0,3761
2006-08-09,643.5,655.0,642.2,654.5,7851
2006-08-10,656.9,657.5,643.0,644.5,4749
2006-08-11,643.5,647.9,640.2,647.5,5947
2006-08-14,633.6,635.0,627.0,632.4,11786
2006-08-15,633.0,635.0,623.0,627.0,10159
2006-08-16,629.0,635.0,628.6,632.5,8830
2006-08-17,635.0,635.0,626.0,626.5,7242
2006-08-18,616.2,621.9,614.5,616.8,14741
2006-08-21,620.0,629.5,620.0,627.2,9467
2006-08-22,629.0,630.7,623.5,625.5,7356
2006-08-23,624.8,632.3,624.2,626.1,7003
2006-08-24,625.5,628.2,622.4,622.4,5370
2006-08-25,624.3,626.0,621.9,621.9,4088
2006-08-28,624.0,625.2,615.8,617.4,1596
2006-08-29,618.3,619.1,609.9,609.9,8417
2006-08-30,610.5,621.9,610.5,617.2,14843
2006-08-31,621.2,627.5,620.3,624.0,8039
2006-09-01,627.0,628.0,621.0,624.0,7513
2006-09-04,627.0,627.8,626.5,626.5,1506
2006-09-05,629.5,638.8,626.5,637.3,7377
2006-09-06,638.6,639.5,635.0,638.8,8385
2006-09-07,635.0,636.4,617.0,617.8,6287
2006-09-08,617.3,618.5,607.0,607.0,7675
2006-09-11,605.0,607.2,595.1,604.0,10988
2006-09-12,605.7,606.9,598.1,602.9,7507
2006-09-13,589.0,602.0,588.5,597.1,15216
2006-09-14,600.0,604.5,594.0,604.0,13820
2006-09-15,592.0,594.0,581.3,594.0,18145
2006-09-18,586.0,593.4,578.5,587.0,10496
2006-09-19,594.9,594.9,588.1,592.5,8868
2006-09-20,585.0,593.0,580.0,593.0,14101
2006-09-21,587.0,592.0,584.5,590.0,14426
2006-09-22,594.0,600.0,593.7,595.0,10702
2006-09-25,597.2,597.9,591.0,591.8,10029
2006-09-26,597.6,600.0,594.1,600.0,9832
2006-09-27,599.7,604.5,599.7,604.2,10548
2006-09-28,607.0,612.0,607.0,611.0,8355
2006-09-29,610.0,610.9,605.5,610.9,14146
2006-10-02,609.9,611.0,607.0,609.4,8959
2006-10-03,603.0,603.8,590.0,594.4,11080
2006-10-04,584.5,588.0,580.0,581.0,17332
2006-10-05,574.9,581.0,568.2,579.4,14088
2006-10-06,579.5,579.7,567.0,577.5,15459
2006-10-09,583.0,587.0,582.1,584.8,3997
2006-10-10,584.3,587.0,575.0,581.7,5084
2006-10-11,577.0,585.0,576.1,585.0,9846
2006-10-12,581.5,582.5,576.6,578.0,4043
2006-10-13,583.1,595.0,583.0,595.0,9328
2006-10-16,594.0,600.9,591.9,600.9,6242
2006-10-17,602.0,602.5,592.0,592.5,5943
