Date,Open,High,Low,Close,Volume
2005-01-11,828.0,842.85,821.0,826.89,702888
2005-01-12,829.95,832.89,815.8,832.0,1194203
2005-01-13,832.0,833.0,821.5,827.2,734766
2005-01-14,828.63,843.0,825.56,836.5,737358
2005-01-17,837.76,849.5,829.0,830.0,957143
2005-01-18,829.75,841.0,811.3,817.95,1763704
2005-01-19,819.0,830.88,814.18,824.89,1137362
2005-01-20,823.9,827.0,807.0,810.88,1325983
2005-01-21,813.78,817.0,804.1,810.94,679331
2005-01-24,811.99,825.0,811.99,821.5,1173624
2005-01-25,821.85,832.5,821.15,826.0,1526002
2005-01-26,827.65,835.23,817.5,830.21,1718410
2005-01-27,831.01,839.9,824.5,837.0,1482131
2005-01-28,833.25,855.25,826.01,850.0,2150876
2005-01-31,851.01,878.49,842.65,868.0,2656032
2005-02-01,870.0,879.0,864.22,873.98,1651217
2005-02-02,874.95,888.0,870.06,875.0,1902410
2005-02-03,876.0,883.0,872.1,880.01,1646410
2005-02-04,880.1,888.5,874.5,884.5,1060409
2005-02-07,888.0,899.0,882.29,884.26,1661308
2005-02-08,883.9,897.0,876.5,896.0,1133407
2005-02-09,897.0,902.0,883.0,885.49,1789699
2005-02-10,885.0,890.0,875.0,888.86,1103598
2005-02-11,889.89,891.0,873.05,875.0,841473
2005-02-14,875.82,891.76,874.0,881.0,1371695
2005-02-15,882.0,889.49,879.22,886.8,772203
2005-02-16,887.7,900.3,886.0,896.0,1609630
2005-02-17,899.5,908.45,898.0,905.5,1130437
2005-02-18,905.5,915.0,901.22,911.0,1650550
2005-02-21,912.24,919.0,910.5,915.41,1170258
2005-02-22,917.5,920.7,907.0,913.77,1838652
2005-02-24,918.33,941.0,916.01,939.8,2153380
2005-02-25,947.0,957.0,941.01,956.5,2314832
2005-02-28,958.0,968.8,953.88,968.25,2057530
2005-03-01,967.0,967.9,948.0,952.0,1724863
2005-03-02,955.0,961.98,938.88,941.99,2415293
2005-03-03,942.07,948.76,934.03,937.0,1376314
2005-03-04,940.1,954.49,938.12,952.0,1247057
2005-03-05,953.0,955.0,951.0,954.7,253629
2005-03-09,961.0,968.76,946.1,958.5,2000241
2005-03-10,956.9,957.11,932.5,934.0,1470271
2005-03-11,934.0,950.3,927.07,949.0,1998701
2005-03-14,950.19,951.0,928.11,932.02,1704144
2005-03-15,932.52,941.8,925.0,925.2,1637715
2005-03-16,925.2,929.0,899.5,903.1,2553000
2005-03-17,907.0,924.97,904.1,920.0,2250741
2005-03-18,923.95,930.4,914.0,920.05,2043001
2005-03-21,924.15,929.0,903.1,908.0,1337804
2005-03-22,905.0,929.3,905.0,929.0,1299634
2005-03-23,920.0,920.0,896.02,899.5,2991677
2005-03-24,899.5,934.6,899.0,933.05,2248281
2005-03-25,935.0,945.9,934.04,938.42,1384954
2005-03-28,939.9,943.8,928.02,942.5,799952
2005-03-29,943.0,948.49,931.0,940.0,1362983
2005-03-30,937.0,937.5,925.0,929.0,1284613
2005-03-31,932.0,946.5,932.0,945.9,1203990
2005-04-01,952.0,972.0,946.7,971.0,1796363
2005-04-04,969.0,982.88,964.56,966.0,2588494
2005-04-05,968.0,982.71,962.01,979.0,1496163
2005-04-06,982.7,1016.6,980.25,1016.0,3635590
2005-04-07,1018.81,1025.34,1002.0,1012.0,2781512
2005-04-08,1015.0,1026.9,1004.0,1021.9,1746952
2005-04-11,971.0,1020.0,971.0,1001.1,3494355
2005-04-12,1005.0,1006.0,978.06,998.26,2281846
2005-04-13,998.5,1019.99,993.5,997.55,1856639
2005-04-14,991.23,992.79,966.14,973.55,2937299
2005-04-15,970.0,977.0,961.04,964.51,2023669
2005-04-18,956.0,957.99,938.98,947.55,2148572
2005-04-19,949.61,957.55,943.2,945.1,1713144
2005-04-20,950.03,959.95,938.22,943.5,1949098
2005-04-21,939.85,962.48,934.0,959.99,2026381
2005-04-22,964.0,978.0,963.01,972.0,1688116
2005-04-25,977.1,989.9,970.95,978.5,1771951
2005-04-26,979.85,982.01,965.0,972.0,1693115
2005-04-27,968.89,971.42,953.0,954.97,2121248
2005-04-28,956.05,963.5,944.22,950.5,1546614
2005-04-29,945.1,953.0,940.84,941.5,1022609
2005-05-03,948.0,952.4,938.22,942.45,832639
2005-05-04,944.95,949.5,937.78,941.0,1003439
2005-05-05,946.51,954.69,942.1,944.8,1469496
2005-05-06,945.0,951.87,943.25,949.0,789093
2005-05-11,949.0,953.8,930.01,931.0,1569071
2005-05-12,927.53,930.0,914.01,920.0,1478884
2005-05-13,897.01,910.71,888.12,901.75,3072351
2005-05-14,901.01,904.7,899.02,900.49,275277
2005-05-16,901.0,901.0,882.0,882.5,1439077
2005-05-17,883.97,926.98,883.0,926.98,2711200
2005-05-18,931.06,934.88,921.22,931.81,1964977
2005-05-19,935.12,939.6,928.1,931.0,1129495
2005-05-20,931.95,936.83,922.02,930.97,1165487
2005-05-23,932.95,936.89,926.0,935.9,636816
2005-05-24,937.11,981.99,933.8,981.01,3809236
2005-05-25,979.05,986.7,965.0,967.5,1740607
2005-05-26,967.75,987.75,965.4,981.0,2252812
2005-05-27,985.01,991.5,972.1,977.47,2036186
2005-05-30,973.0,977.8,967.08,974.1,764575
2005-05-31,974.4,990.0,968.2,983.5,2402778
2005-06-01,984.0,988.5,972.1,988.0,1849341
2005-06-02,992.5,1002.95,991.37,992.0,2965763
2005-06-03,993.25,995.49,990.24,994.0,1147794
2005-06-06,996.01,997.9,985.0,990.0,1696524
2005-06-07,987.2,997.47,986.0,992.75,2083848
2005-06-08,992.8,994.4,980.01,986.51,1837293
2005-06-09,986.0,994.89,982.3,988.0,1346964
2005-06-10,992.85,1001.95,992.2,997.69,1922928
2005-06-14,1011.0,1021.0,1006.31,1016.0,1830678
2005-06-15,1020.25,1020.89,1007.5,1008.0,2060628
2005-06-16,1013.0,1018.88,991.0,1000.0,2490719
2005-06-17,1001.0,1007.49,994.0,1005.5,1915555
2005-06-20,1012.0,1014.9,1007.15,1012.5,1321705
2005-06-21,1009.5,1014.39,1000.1,1009.0,1948927
2005-06-22,1009.52,1029.5,1006.51,1028.99,2794058
2005-06-23,978.53,1040.5,978.53,1032.61,1932307
2005-06-24,1031.55,1039.99,1025.0,1033.75,1859422
2005-06-27,1033.76,1037.78,1025.05,1035.0,1751354
2005-06-28,1038.01,1043.0,1021.0,1039.5,2762651
2005-06-29,1034.1,1046.61,1029.0,1034.5,2146509
2005-06-30,1033.99,1060.9,1030.15,1053.97,2734768
2005-07-01,1053.97,1077.0,1051.0,1074.0,2560877
2005-07-04,1074.55,1095.98,1074.55,1090.0,1985411
2005-07-05,1089.75,1104.5,1082.75,1098.7,3040673
2005-07-06,1100.06,1138.6,1099.92,1125.0,4223545
2005-07-07,1125.0,1130.0,1085.25,1117.39,4850213
2005-07-08,1122.06,1142.0,1122.06,1133.51,2855526
2005-07-11,1134.99,1144.99,1131.02,1139.5,1783823
2005-07-12,1139.45,1141.95,1124.12,1133.9,1535929
2005-07-13,1133.79,1144.21,1128.0,1142.93,1686707
2005-07-14,1142.05,1149.0,1130.78,1135.0,1690647
2005-07-15,1088.5,1131.0,1088.5,1118.41,1593658
2005-07-18,1118.71,1123.0,1101.13,1103.0,1399739
2005-07-19,1105.0,1119.89,1101.15,1117.55,2081685
2005-07-20,1119.0,1148.0,1116.56,1143.3,2884481
2005-07-21,1143.0,1156.05,1124.0,1130.95,3472846
2005-07-22,1129.95,1144.0,1126.11,1140.99,1533046
2005-07-25,1141.06,1149.9,1136.0,1138.54,1274960
2005-07-26,1141.27,1147.77,1133.0,1134.33,1384670
2005-07-27,1135.01,1157.5,1135.01,1152.99,1576183
2005-07-28,1155.5,1186.74,1155.11,1181.77,2554562
2005-07-29,1185.0,1197.4,1181.0,1184.9,1654270
2005-08-01,1180.05,1197.2,1174.1,1194.8,1426530
2005-08-02,1200.0,1216.89,1197.11,1208.99,1962613
2005-08-03,1211.5,1217.5,1187.03,1193.0,2293019
2005-08-04,1192.75,1215.0,1179.01,1206.0,2116381
2005-08-05,1206.0,1222.0,1204.55,1221.1,1687344
2005-08-08,1215.0,1248.9,1209.55,1245.2,1726647
2005-08-09,1250.91,1272.99,1250.91,1264.0,2838611
2005-08-10,1266.89,1280.0,1258.25,1267.0,2314880
2005-08-11,1274.5,1282.0,1235.31,1236.32,3406517
2005-08-12,1247.82,1247.82,1214.8,1217.7,3345645
2005-08-15,1217.72,1235.95,1207.88,1234.15,1985205
2005-08-16,1236.75,1282.96,1235.0,1281.21,3203282
2005-08-17,1280.0,1304.0,1265.5,1299.0,3678206
2005-08-18,1287.0,1297.77,1261.5,1280.5,2921914
2005-08-19,1274.99,1316.5,1272.5,1313.0,2400088
2005-08-22,1315.0,1333.37,1300.0,1317.03,2614404
2005-08-23,1306.26,1331.95,1306.26,1320.5,1565129
2005-08-24,1320.53,1329.0,1307.65,1322.5,1890616
2005-08-25,1320.05,1338.2,1316.11,1338.0,2151518
2005-08-26,1339.75,1359.0,1336.05,1356.5,1908512
2005-08-29,1358.0,1369.95,1349.0,1367.0,1026095
2005-08-30,1370.0,1402.5,1364.73,1366.5,3065611
2005-08-31,1369.9,1391.29,1351.76,1387.01,3234503
2005-09-01,1390.84,1415.0,1379.0,1387.99,3362866
2005-09-02,1388.0,1398.05,1374.01,1394.01,1814357
2005-09-05,1395.0,1408.87,1367.01,1373.0,1863913
2005-09-06,1371.6,1375.0,1327.5,1338.51,3555880
2005-09-07,1338.01,1353.0,1297.32,1311.49,3529607
2005-09-08,1313.95,1334.0,1303.0,1328.0,3164928
2005-09-09,1331.11,1363.98,1326.51,1363.98,2186516
2005-09-12,1370.0,1374.98,1345.12,1356.97,2120180
2005-09-13,1353.01,1360.0,1341.0,1345.0,1727910
2005-09-14,1335.0,1359.99,1326.3,1359.85,2162766
2005-09-15,1360.5,1412.95,1360.5,1410.01,3144048
2005-09-16,1411.63,1489.0,1393.0,1478.0,4640970
2005-09-19,1475.0,1559.88,1467.0,1550.0,3833556
2005-09-20,1560.0,1626.0,1515.51,1542.5,5217645
2005-09-21,1541.5,1596.25,1503.22,1591.08,4729184
2005-09-22,1604.5,1628.6,1578.0,1594.51,3748567
2005-09-23,1594.75,1635.0,1578.0,1610.88,3194028
2005-09-26,1590.5,1597.44,1565.11,1574.1,2270892
2005-09-27,1591.01,1641.52,1590.01,1632.0,3298833
2005-09-28,1630.1,1662.15,1606.0,1607.0,3346960
2005-09-29,1619.0,1633.0,1603.01,1620.0,2415663
2005-09-30,1626.0,1653.11,1622.5,1644.0,2076358
2005-10-03,1652.15,1731.8,1650.05,1731.8,3246038
2005-10-04,1737.05,1774.99,1719.01,1731.0,3560035
2005-10-05,1703.0,1715.0,1640.0,1650.1,4304133
2005-10-06,1617.0,1619.0,1538.0,1541.99,4404548
2005-10-07,1545.0,1570.0,1505.33,1532.0,3814782
2005-10-10,1540.0,1586.2,1540.0,1567.0,2981447
2005-10-11,1562.0,1661.16,1552.22,1661.0,3943368
2005-10-12,1670.0,1699.86,1566.0,1573.0,5650105
