Date,Open,High,Low,Close,Volume
2005-10-10,27200.0,27250.0,27200.0,27250.0,2
2005-10-13,26127.0,26127.0,25509.0,25509.0,3
2005-10-14,24555.0,25585.0,24305.0,24800.0,74
2005-10-17,25210.0,26900.0,24205.0,24984.0,51
2005-10-18,25310.0,25490.0,24355.0,25140.0,43
2005-10-19,23600.0,24204.0,23600.0,24204.0,4
2005-10-20,24400.0,24400.0,24300.0,24300.0,4
2005-10-21,23800.0,24124.0,23800.0,24124.0,13
2005-10-24,24100.0,24600.0,24000.0,24460.0,14
2005-10-25,23502.0,24501.0,23502.0,24200.0,8
2005-10-26,24210.0,24210.0,24210.0,24210.0,1
2005-10-27,24900.0,24900.0,24200.0,24200.0,27
2005-10-28,24600.0,25600.0,24450.0,24450.0,12
2005-10-31,25000.0,25450.0,25000.0,25450.0,7
2005-11-01,25539.0,25800.0,25539.0,25800.0,21
2005-11-02,26189.0,26565.0,25517.0,26470.0,42
2005-11-07,26800.0,27300.0,26800.0,27300.0,5
2005-11-08,27080.0,27080.0,27080.0,27080.0,2
2005-11-09,27400.0,27400.0,27400.0,27400.0,10
2005-11-10,27500.0,28050.0,27500.0,28050.0,45
2005-11-11,27900.0,28043.0,27900.0,28043.0,12
2005-11-14,28550.0,29750.0,28250.0,29750.0,74
2005-11-15,30200.0,31650.0,30019.0,31489.0,344
2005-11-16,31302.0,31750.0,30470.0,30586.0,385
2005-11-17,31000.0,31800.0,30600.0,31220.0,178
2005-11-18,31250.0,31388.0,30801.0,31167.0,62
2005-11-21,31290.0,32200.0,31290.0,31500.0,177
2005-11-22,31679.0,31680.0,31000.0,31240.0,141
2005-11-23,31598.0,31866.0,31250.0,31500.0,38
2005-11-24,31800.0,33500.0,31300.0,31450.0,61
2005-11-25,31360.0,31650.0,31350.0,31650.0,18
2005-11-28,31900.0,32450.0,31900.0,31970.0,117
2005-11-29,31910.0,31910.0,31400.0,31400.0,46
2005-11-30,31890.0,32000.0,31890.0,32000.0,11
2005-12-01,32440.0,33100.0,32400.0,32410.0,60
2005-12-02,33601.0,34100.0,33600.0,34050.0,118
2005-12-05,34700.0,34950.0,34200.0,34200.0,38
2005-12-06,33899.0,33899.0,33899.0,33899.0,4
2005-12-07,34100.0,34700.0,33940.0,34600.0,24
2005-12-08,35310.0,35310.0,32440.0,35000.0,68
2005-12-09,34800.0,35000.0,34800.0,35000.0,7
2005-12-12,35400.0,35400.0,34851.0,35300.0,143
2005-12-13,35300.0,35700.0,35100.0,35700.0,13
2005-12-14,35200.0,35970.0,35200.0,35590.0,25
2005-12-15,35300.0,35520.0,35000.0,35252.0,188
2005-12-16,35224.0,35282.0,35060.0,35200.0,97
2005-12-19,35270.0,35340.0,35200.0,35280.0,30
2005-12-20,35000.0,35180.0,35000.0,35151.0,17
2005-12-21,35320.0,35400.0,35171.0,35400.0,43
2005-12-22,35550.0,37581.0,35550.0,37581.0,508
2005-12-23,37495.0,39490.0,37300.0,38000.0,1736
2005-12-26,38200.0,38950.0,38140.0,38350.0,240
2005-12-27,39500.0,39500.0,38350.0,38360.0,490
2005-12-28,38600.0,38600.0,37800.0,38191.0,641
2005-12-29,38000.0,38600.0,37895.0,38350.0,306
2005-12-30,38847.0,38847.0,38312.0,38312.0,22
2006-01-10,40000.0,41550.0,39300.0,41000.0,339
2006-01-11,40900.0,43000.0,40700.0,42694.0,911
2006-01-12,44000.0,48675.0,44000.0,48500.0,1055
2006-01-13,46500.0,51000.0,45151.0,46550.0,703
2006-01-16,46100.0,48000.0,45802.0,47000.0,325
2006-01-17,49500.0,49500.0,43500.0,43850.0,618
2006-01-18,42500.0,42630.0,40523.0,41250.0,421
2006-01-19,41200.0,44890.0,41100.0,44100.0,287
2006-01-20,45700.0,45950.0,43492.0,45000.0,267
2006-01-23,44010.0,44010.0,42089.0,42500.0,162
2006-01-24,42949.0,43600.0,42500.0,43350.0,273
2006-01-25,43630.0,43750.0,43050.0,43750.0,295
2006-01-26,43950.0,43950.0,43000.0,43403.0,120
2006-01-27,43200.0,44291.0,42951.0,43950.0,201
2006-01-30,44100.0,44100.0,42050.0,43099.0,142
2006-01-31,42500.0,43450.0,42000.0,42000.0,283
2006-02-01,41910.0,42400.0,41900.0,42200.0,67
2006-02-02,42200.0,43000.0,42000.0,43000.0,105
2006-02-03,42000.0,42400.0,41100.0,41621.0,160
2006-02-06,41000.0,42400.0,41000.0,42111.0,115
2006-02-07,41751.0,42500.0,41450.0,42270.0,225
2006-02-08,41505.0,43248.0,41250.0,43248.0,94
2006-02-09,43400.0,45200.0,43400.0,45200.0,391
2006-02-10,45700.0,46200.0,43953.0,45248.0,133
2006-02-13,44200.0,44500.0,43800.0,43800.0,110
2006-02-14,44680.0,45400.0,44250.0,44500.0,129
2006-02-15,44900.0,45250.0,43800.0,44100.0,367
2006-02-16,44100.0,45499.0,44100.0,44500.0,246
2006-02-17,44755.0,45800.0,44755.0,45499.0,73
2006-02-20,46000.0,46350.0,45852.0,46000.0,243
2006-02-21,45300.0,46297.0,42100.0,44400.0,161
2006-02-22,45200.0,45200.0,44600.0,45179.0,56
2006-02-26,44950.0,46350.0,44950.0,46350.0,358
2006-02-27,45701.0,46800.0,45050.0,45350.0,245
2006-02-28,45000.0,45950.0,43100.0,43100.0,233
2006-03-01,43200.0,43366.0,42000.0,42000.0,102
2006-03-02,43113.0,43113.0,42525.0,42800.0,74
2006-03-03,43500.0,43500.0,42785.0,42972.0,251
2006-03-06,43000.0,43463.0,42800.0,42877.0,516
2006-03-07,42800.0,42800.0,40500.0,40500.0,182
2006-03-09,39500.0,41000.0,38001.0,39200.0,515
2006-03-10,40040.0,40500.0,39500.0,40100.0,358
2006-03-13,40850.0,41970.0,40600.0,41200.0,276
2006-03-14,41750.0,43100.0,39500.0,40340.0,1091
2006-03-15,40401.0,40500.0,39550.0,40000.0,572
2006-03-16,39711.0,40350.0,39700.0,40050.0,585
2006-03-17,40050.0,40950.0,40050.0,40600.0,689
2006-03-20,40510.0,41250.0,40470.0,40800.0,309
2006-03-21,40600.0,40900.0,40600.0,40600.0,114
2006-03-22,40400.0,40910.0,40400.0,40850.0,149
2006-03-23,40700.0,42250.0,40700.0,41800.0,406
2006-03-24,41918.0,41918.0,40500.0,41230.0,590
2006-03-27,41028.0,41530.0,40900.0,41483.0,136
2006-03-28,41252.0,41460.0,40259.0,40505.0,301
2006-03-29,40125.0,40534.0,39800.0,39800.0,233
2006-03-30,40500.0,41250.0,40485.0,41250.0,351
2006-03-31,41000.0,41650.0,41000.0,41400.0,166
2006-04-03,41508.0,41653.0,41364.0,41450.0,60
2006-04-04,41853.0,41853.0,40900.0,40900.0,142
2006-04-05,41258.0,42150.0,41258.0,42150.0,186
2006-04-06,42650.0,42653.0,41588.0,41588.0,290
2006-04-07,41785.0,42720.0,41785.0,42295.0,94
2006-04-10,42490.0,43550.0,42100.0,43300.0,452
2006-04-11,44053.0,45000.0,43040.0,43062.0,957
2006-04-12,43500.0,43800.0,42779.0,43800.0,415
2006-04-13,44040.0,44222.0,43040.0,43187.0,184
2006-04-14,43249.0,43650.0,43249.0,43650.0,37
2006-04-17,43813.0,43813.0,43428.0,43742.0,137
2006-04-18,44040.0,44213.0,43818.0,43843.0,132
2006-04-19,44455.0,44455.0,43600.0,43800.0,348
2006-04-20,44070.0,44070.0,42640.0,43000.0,239
2006-04-21,42748.0,43151.0,42654.0,43084.0,44
2006-04-24,43008.0,43110.0,42601.0,42698.0,166
2006-04-25,42491.0,43600.0,42026.0,43300.0,872
2006-04-26,44040.0,47715.0,43659.0,47715.0,2668
2006-04-27,49778.0,50200.0,45500.0,46100.0,2122
2006-04-28,46500.0,49975.0,45570.0,48747.0,2119
2006-05-02,49000.0,52624.0,48800.0,52125.0,818
2006-05-03,52775.0,52900.0,49463.0,50062.0,893
2006-05-04,49600.0,50800.0,49500.0,50350.0,588
2006-05-05,49900.0,51401.0,49500.0,50096.0,580
2006-05-06,50001.0,50590.0,50001.0,50367.0,67
2006-05-10,49555.0,53000.0,48250.0,48500.0,492
2006-05-11,48800.0,49610.0,46300.0,47250.0,898
2006-05-12,46700.0,47234.0,46040.0,46700.0,598
2006-05-15,45500.0,46320.0,43807.0,43807.0,703
2006-05-16,43700.0,44699.0,39919.0,44100.0,1463
2006-05-17,44500.0,45350.0,42000.0,42040.0,726
2006-05-18,41500.0,42700.0,39900.0,42448.0,526
2006-05-19,42825.0,43040.0,41213.0,41905.0,236
2006-05-22,40908.0,41557.0,37881.0,39200.0,343
2006-05-23,37329.0,42000.0,36415.0,42000.0,759
2006-05-24,40500.0,41000.0,39403.0,40682.0,441
2006-05-25,40653.0,44000.0,40000.0,44000.0,378
2006-05-26,44899.0,45306.0,43444.0,44810.0,539
2006-05-29,45899.0,45899.0,43000.0,43010.0,230
2006-05-30,43010.0,43297.0,41588.0,43297.0,178
2006-05-31,42000.0,43999.0,41833.0,42943.0,104
2006-06-01,43382.0,45897.0,41701.0,45500.0,490
2006-06-02,45900.0,47700.0,45900.0,47600.0,335
2006-06-05,47601.0,48020.0,46000.0,47195.0,527
2006-06-06,46113.0,46150.0,44001.0,44110.0,375
2006-06-07,45200.0,46045.0,43200.0,44200.0,176
2006-06-08,43471.0,44500.0,42000.0,42500.0,91
2006-06-09,42501.0,43699.0,42315.0,42800.0,440
2006-06-13,40500.0,40900.0,40229.0,40500.0,245
2006-06-14,40500.0,41050.0,39000.0,40930.0,837
2006-06-15,41930.0,42900.0,41010.0,42600.0,107
2006-06-16,44000.0,44300.0,41700.0,41700.0,228
2006-06-19,42000.0,43000.0,41701.0,42601.0,387
2006-06-20,42000.0,44951.0,41715.0,44800.0,542
2006-06-21,45000.0,45600.0,42551.0,45600.0,443
2006-06-22,44999.0,45000.0,43000.0,43000.0,102
2006-06-23,43280.0,43990.0,43240.0,43990.0,22
2006-06-26,44000.0,44681.0,43000.0,43815.0,90
2006-06-27,43592.0,45200.0,43495.0,45000.0,690
2006-06-28,44001.0,46153.0,44001.0,45888.0,606
2006-06-29,46200.0,46200.0,45000.0,45400.0,328
2006-06-30,46530.0,46980.0,46098.0,46980.0,295
2006-07-03,46598.0,47000.0,46300.0,46570.0,489
2006-07-04,46500.0,49448.0,45501.0,49447.0,846
2006-07-05,48750.0,50000.0,47000.0,47405.0,1055
2006-07-06,47450.0,48608.0,47000.0,48608.0,213
2006-07-07,48950.0,51700.0,48950.0,51499.0,1719
2006-07-10,50950.0,52980.0,50950.0,52520.0,1483
2006-07-11,52999.0,52999.0,51150.0,51199.0,296
2006-07-12,51550.0,52334.0,50410.0,50554.0,625
2006-07-13,50300.0,50507.0,47100.0,47700.0,1098
2006-07-14,47000.0,48100.0,46000.0,47553.0,458
2006-07-17,46900.0,46900.0,45650.0,45720.0,759
2006-07-18,45000.0,45500.0,44000.0,45201.0,1090
2006-07-19,45355.0,46350.0,44500.0,46350.0,1625
2006-07-20,47000.0,48000.0,46602.0,46850.0,687
2006-09-11,57001.0,57001.0,53276.0,54410.0,191
2006-09-12,55500.0,56347.0,55000.0,55150.0,288
2006-09-13,55665.0,56510.0,55000.0,55011.0,805
2006-09-14,56899.0,56899.0,54507.0,55300.0,1402
2006-09-15,55000.0,56248.0,54851.0,55550.0,349
2006-09-18,55600.0,56247.0,54611.0,55800.0,484
2006-09-19,55796.0,56699.0,55600.0,56500.0,121
2006-09-20,56500.0,56500.0,55056.0,56300.0,1597
2006-09-21,56001.0,57001.0,55700.0,56100.0,818
2006-09-22,56949.0,57099.0,54700.0,55000.0,523
2006-09-25,54799.0,54810.0,53460.0,53750.0,554
2006-09-26,54500.0,56000.0,54500.0,55751.0,502
2006-09-27,56101.0,57511.0,56100.0,57155.0,477
2006-09-28,58093.0,58732.0,58093.0,58500.0,803
2006-09-29,58700.0,59091.0,57991.0,58600.0,913
