Date,Open,High,Low,Close,Volume
2005-01-11,28000.0,28049.0,28000.0,28049.0,742
2005-01-12,28000.0,28000.0,27900.0,27900.0,497
2005-01-13,27961.0,27961.0,27905.0,27940.0,189
2005-01-14,28003.0,28013.0,28000.0,28010.0,165
2005-01-17,28023.0,28069.0,28023.0,28069.0,56
2005-01-18,28100.0,28200.0,28100.0,28180.0,229
2005-01-19,28180.0,28210.0,28170.0,28180.0,855
2005-01-20,28190.0,28245.0,28158.0,28245.0,416
2005-01-21,28200.0,28200.0,28170.0,28175.0,322
2005-01-24,28006.0,28065.0,28006.0,28023.0,1072
2005-01-25,28000.0,28081.0,27981.0,28081.0,1578
2005-01-26,28100.0,28121.0,28075.0,28121.0,509
2005-01-27,28079.0,28114.0,28079.0,28114.0,143
2005-01-28,28088.0,28115.0,28088.0,28115.0,1002
2005-01-31,28114.0,28114.0,28030.0,28067.0,1530
2005-02-01,28000.0,28000.0,27985.0,27985.0,104
2005-02-02,27980.0,28020.0,27975.0,28000.0,1975
2005-02-03,28000.0,28042.0,28000.0,28042.0,93
2005-02-04,27981.0,28010.0,27952.0,28010.0,1696
2005-02-07,28100.0,28130.0,28100.0,28128.0,647
2005-02-08,28180.0,28200.0,28162.0,28183.0,2109
2005-02-09,28156.0,28156.0,28114.0,28145.0,154
2005-02-10,28129.0,28129.0,28115.0,28125.0,223
2005-02-11,28095.0,28095.0,28078.0,28078.0,47
2005-02-14,28055.0,28055.0,28030.0,28036.0,1261
2005-02-15,28020.0,28037.0,28010.0,28010.0,323
2005-02-16,28032.0,28032.0,28000.0,28020.0,160
2005-02-17,28000.0,28000.0,27984.0,27990.0,129
2005-02-18,27950.0,27959.0,27940.0,27940.0,2338
2005-02-21,27950.0,27950.0,27940.0,27940.0,32
2005-02-22,27840.0,27865.0,27772.0,27772.0,190
2005-02-24,27750.0,27750.0,27700.0,27700.0,724
2005-02-25,27759.0,27765.0,27697.0,27730.0,9093
2005-02-28,27700.0,27700.0,27616.0,27616.0,1862
2005-03-01,27700.0,27700.0,27645.0,27660.0,1129
2005-03-02,27663.0,27739.0,27663.0,27692.0,807
2005-03-03,27704.0,27720.0,27698.0,27720.0,232
2005-03-04,27715.0,27726.0,27680.0,27680.0,606
2005-03-05,27666.0,27666.0,27650.0,27650.0,100
2005-03-09,27559.0,27560.0,27523.0,27531.0,1166
2005-03-10,27464.0,27475.0,27450.0,27450.0,392
2005-03-11,27467.0,27467.0,27430.0,27440.0,194
2005-03-14,27460.0,27488.0,27440.0,27479.0,463
2005-03-15,27480.0,27480.0,27428.0,27470.0,1565
2005-03-16,27460.0,27471.0,27445.0,27445.0,1120
2005-03-17,27440.0,27450.0,27435.0,27435.0,35
2005-03-18,27700.0,27700.0,27435.0,27475.0,134
2005-03-21,27520.0,27585.0,27520.0,27585.0,271
2005-03-22,27525.0,27578.0,27525.0,27550.0,2326
2005-03-23,27633.0,27720.0,27633.0,27720.0,568
2005-03-24,27680.0,27695.0,27665.0,27665.0,85
2005-03-25,27719.0,27720.0,27685.0,27700.0,118
2005-03-28,27720.0,27837.0,27720.0,27817.0,1481
2005-03-29,27780.0,27860.0,27780.0,27860.0,863
2005-03-30,27800.0,27838.0,27795.0,27820.0,820
2005-03-31,27870.0,27880.0,27854.0,27880.0,1337
2005-04-01,27870.0,27870.0,27840.0,27840.0,405
2005-04-04,27900.0,27920.0,27890.0,27920.0,136
2005-04-05,27925.0,27945.0,27900.0,27900.0,697
2005-04-06,27875.0,27875.0,27850.0,27875.0,399
2005-04-07,27800.0,27817.0,27770.0,27795.0,405
2005-04-08,27835.0,27835.0,27835.0,27835.0,90
2005-04-11,27800.0,27800.0,27765.0,27765.0,672
2005-04-12,27765.0,27788.0,27733.0,27788.0,2567
2005-04-13,27770.0,27830.0,27770.0,27830.0,323
2005-04-14,27839.0,27899.0,27830.0,27899.0,727
2005-04-15,27900.0,27900.0,27865.0,27866.0,186
2005-04-18,27796.0,27796.0,27785.0,27785.0,207
2005-04-19,27750.0,27782.0,27737.0,27737.0,640
2005-04-20,27705.0,27735.0,27700.0,27730.0,751
2005-04-21,27704.0,27710.0,27686.0,27686.0,171
2005-04-22,27710.0,27710.0,27710.0,27710.0,34
2005-04-25,27725.0,27760.0,27725.0,27740.0,171
2005-04-26,27740.0,27740.0,27740.0,27740.0,61
2005-04-27,27785.0,27785.0,27769.0,27769.0,60
2005-04-28,27784.0,27790.0,27784.0,27785.0,67
2005-04-29,27765.0,27770.0,27765.0,27770.0,118
2005-05-03,27830.0,27834.0,27826.0,27826.0,207
2005-05-04,27800.0,27800.0,27800.0,27800.0,17
2005-05-05,27778.0,27778.0,27778.0,27778.0,60
2005-05-06,27780.0,27840.0,27780.0,27840.0,35
2005-05-11,27820.0,27862.0,27800.0,27850.0,279
2005-05-12,27885.0,27903.0,27870.0,27902.0,183
2005-05-13,27924.0,27970.0,27922.0,27970.0,940
2005-05-14,27963.0,27963.0,27950.0,27950.0,501
2005-05-16,28020.0,28020.0,27990.0,27990.0,162
2005-05-17,27984.0,28000.0,27984.0,28000.0,208
2005-05-18,28005.0,28015.0,28005.0,28015.0,706
2005-05-19,27970.0,27985.0,27970.0,27985.0,134
2005-05-20,27965.0,28030.0,27965.0,28030.0,440
2005-05-23,28065.0,28070.0,28058.0,28070.0,223
2005-05-24,28035.0,28050.0,28035.0,28050.0,1212
2005-05-25,28055.0,28055.0,28015.0,28015.0,73
2005-05-26,28068.0,28101.0,28068.0,28101.0,111
2005-05-27,28086.0,28086.0,28075.0,28085.0,397
2005-05-30,28088.0,28121.0,28088.0,28121.0,51
2005-05-31,28195.0,28251.0,28195.0,28240.0,566
2005-06-01,28290.0,28410.0,28290.0,28375.0,641
2005-06-02,28360.0,28386.0,28340.0,28353.0,2190
2005-06-03,28390.0,28400.0,28361.0,28394.0,2616
2005-06-06,28435.0,28435.0,28415.0,28417.0,821
2005-06-07,28415.0,28415.0,28386.0,28409.0,90
2005-06-08,28360.0,28370.0,28356.0,28364.0,386
2005-06-09,28450.0,28483.0,28440.0,28483.0,7535
2005-06-10,28476.0,28540.0,28470.0,28540.0,453
2005-06-14,28595.0,28610.0,28575.0,28610.0,3035
2005-06-15,28650.0,28660.0,28600.0,28600.0,3554
2005-06-16,28620.0,28640.0,28578.0,28625.0,1874
2005-06-17,28600.0,28620.0,28516.0,28516.0,1964
2005-06-20,28492.0,28565.0,28492.0,28565.0,128
2005-06-21,28595.0,28650.0,28583.0,28610.0,4383
2005-06-22,28600.0,28665.0,28594.0,28650.0,1808
2005-06-23,28669.0,28705.0,28665.0,28700.0,1622
2005-06-24,28720.0,28720.0,28657.0,28657.0,1405
2005-06-27,28612.0,28640.0,28608.0,28608.0,551
2005-06-28,28650.0,28650.0,28650.0,28650.0,301
2005-06-29,28730.0,28754.0,28717.0,28754.0,1947
2005-06-30,28670.0,28730.0,28670.0,28700.0,2573
2005-07-01,28705.0,28772.0,28698.0,28772.0,1674
2005-07-04,28835.0,28870.0,28829.0,28865.0,3201
2005-07-05,28895.0,28895.0,28870.0,28890.0,338
2005-07-06,28855.0,28895.0,28851.0,28876.0,228
2005-07-07,28860.0,28870.0,28815.0,28815.0,807
2005-07-08,28879.0,28880.0,28840.0,28840.0,406
2005-07-11,28765.0,28789.0,28762.0,28762.0,985
2005-07-12,28640.0,28662.0,28616.0,28662.0,861
2005-07-13,28620.0,28740.0,28620.0,28740.0,486
2005-07-14,28720.0,28734.0,28680.0,28730.0,1114
2005-07-15,28680.0,28730.0,28680.0,28730.0,56
2005-07-18,28720.0,28720.0,28716.0,28716.0,2
2005-07-19,28785.0,28800.0,28770.0,28800.0,405
2005-07-20,28720.0,28750.0,28710.0,28750.0,298
2005-07-21,28680.0,28680.0,28680.0,28680.0,10
2005-07-22,28640.0,28669.0,28635.0,28635.0,528
2005-07-25,28610.0,28610.0,28610.0,28610.0,10
2005-07-26,28740.0,28781.0,28740.0,28766.0,65
2005-07-27,28770.0,28790.0,28750.0,28750.0,788
2005-07-28,28745.0,28745.0,28708.0,28722.0,995
